#bin,name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,score,name2,cdsStartStat,cdsEndStat,exonFrames
"10","ENST00000628795.2","chr2","+","11482340","11562544","11556614","11562544","3","11482340,11556456,11562462,","11482381,11556771,11562544,","0","GREB1","cmpl","cmpl","-1,0,1,"
"10","ENST00000912084.1","chr2","+","11482822","11642788","11556614","11640454","33","11482822,11556453,11562462,11566479,11576352,11578296,11580703,11585160,11585761,11588745,11592775,11595250,11596110,11597780,11598679,11600799,11602405,11610687,11612494,11615090,11616630,11618287,11620904,11625153,11626961,11629947,11631908,11632888,11634130,11635269,11637715,11638670,11640290,","11482963,11556771,11562582,11566656,11576535,11578431,11580832,11585274,11585905,11588931,11593126,11595379,11596239,11597978,11598860,11600995,11602542,11611027,11612610,11615290,11616720,11618919,11621007,11625312,11627104,11630109,11632113,11633063,11634349,11635405,11637916,11638809,11642788,","0","GREB1","cmpl","cmpl","-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,2,1,1,0,1,1,0,0,1,2,2,0,0,1,"
"10","ENST00000381486.7","chr2","+","11534044","11642788","11556614","11640454","33","11534044,11556453,11562462,11566479,11576352,11578296,11580703,11585160,11585761,11588745,11592775,11595250,11596110,11597780,11598679,11600799,11602405,11610687,11612494,11615090,11616630,11618287,11620904,11625153,11626961,11629947,11631908,11632888,11634130,11635269,11637715,11638670,11640290,","11534254,11556771,11562582,11566656,11576535,11578431,11580832,11585274,11585905,11588931,11593126,11595379,11596239,11597978,11598860,11600995,11602542,11611027,11612610,11615290,11616720,11618919,11621007,11625312,11627104,11630109,11632113,11633063,11634349,11635405,11637916,11638809,11642788,","0","GREB1","cmpl","cmpl","-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,2,1,1,0,1,1,0,0,1,2,2,0,0,1,"
"673","ENST00000950322.1","chr2","+","11539648","11642789","11556614","11640454","33","11539648,11556453,11562462,11566479,11576352,11578296,11580703,11585160,11585761,11588745,11592775,11595250,11596110,11597780,11598679,11600799,11602405,11610687,11612494,11615090,11616630,11618287,11620904,11625153,11626961,11629947,11631908,11632888,11634130,11635269,11637715,11638670,11640290,","11540108,11556771,11562582,11566656,11576535,11578431,11580832,11585274,11585905,11588931,11593126,11595379,11596239,11597978,11598860,11600995,11602542,11611027,11612610,11615290,11616720,11618919,11621007,11625312,11627104,11630109,11632113,11633063,11634349,11635405,11637916,11638809,11642789,","0","GREB1","cmpl","cmpl","-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,2,1,1,0,1,1,0,0,1,2,2,0,0,1,"
"673","ENST00000263834.9","chr2","+","11539842","11588243","11556614","11587452","10","11539842,11556453,11562462,11566479,11576352,11578296,11580703,11585160,11585761,11587381,","11540108,11556771,11562582,11566656,11576535,11578431,11580832,11585274,11585905,11588243,","0","GREB1","cmpl","cmpl","-1,0,1,1,1,1,1,1,1,1,"
"673","ENST00000389825.7","chr2","+","11542689","11581265","11566532","11581023","6","11542689,11562462,11566479,11576352,11578296,11580703,","11542827,11562582,11566656,11576535,11578431,11581265,","0","GREB1","cmpl","cmpl","-1,-1,0,1,1,1,"
"673","ENST00000381483.6","chr2","+","11542724","11592146","11556614","11591424","11","11542724,11556456,11562462,11566479,11576352,11578296,11580703,11585160,11585761,11588745,11591395,","11542817,11556771,11562582,11566656,11576535,11578431,11580832,11585274,11585905,11588931,11592146,","0","GREB1","cmpl","cmpl","-1,0,1,1,1,1,1,1,1,1,1,"
"673","ENST00000234142.9","chr2","+","11556352","11642786","11556614","11640454","32","11556352,11562462,11566479,11576352,11578296,11580703,11585160,11585761,11588745,11592775,11595250,11596110,11597780,11598679,11600799,11602405,11610687,11612494,11615090,11616630,11618287,11620904,11625153,11626961,11629947,11631908,11632888,11634130,11635269,11637715,11638670,11640290,","11556771,11562582,11566656,11576535,11578431,11580832,11585274,11585905,11588931,11593126,11595379,11596239,11597978,11598860,11600995,11602542,11611027,11612610,11615290,11616720,11618919,11621007,11625312,11627104,11630109,11632113,11633063,11634349,11635405,11637916,11638809,11642786,","0","GREB1","cmpl","cmpl","0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,0,2,1,1,0,1,1,0,0,1,2,2,0,0,1,"
"673","ENST00000470980.1","chr2","+","11556617","11563141","11556617","11556617","2","11556617,11562462,","11556771,11563141,","0","GREB1","none","none","-1,-1,"
"673","ENST00000515909.1","chr2","+","11561193","11561306","11561193","11561193","1","11561193,","11561306,","0","RNU2-13P","none","none","-1,"
